"speaker_id","speaker_number","speaker_sex","language","language_variety","filename","segment_start","segment_end","duration","timepoint","textgrid_label","segment_type","vowel_quality","phonation","vowel_nasality","tone_contour","number_of_tone_targets","tone_category","language_specific_tone","consonant_aspiration","consonant_nasality","strF0","sF0","pF0","shrF0","sF1","sB1","sF2","sB2","sF3","sB3","sF4","sB4","pF1","pF2","pF3","pF4","H1u","H1c","H2u","H2c","H4u","H4c","A1u","A1c","A2u","A2c","A3u","A3c","H1H2u","H1H2c","H2H4u","H2H4c","H1A1u","H1A1c","H1A2u","H1A2c","H1A3u","H1A3c","Energy","HNR05","HNR15","HNR25","HNR35","CPP","SHR","tone_misc","CQ","CQ_H","CQ_HT","CQ_PM","min_Vel","min_Vel_Time","peak_Vel","peak_Vel_Time","SQ2_SQ1","SQ4_SQ3","ratio","LPhon","SQ"
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-06_Audio",4351.758,4534.736,182.978,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,114.156,114.23,113.677,113.824,414.577,223.798,1055.151,187.783,2404.8,356.228,3631.129,271.514,753.889,1587.78,4221.314,4618.085,15.877,15.097,15.636,12.12,6.847,-7.66,14.34,-15.792,4.178,-10.778,-13.528,-1.889,0.241,2.977,8.789,19.78,1.537,30.894,11.699,25.874,29.405,16.986,1.299,36.856,38.076,41.128,42.62,24.294,0,NA,0.491,0.444,0.371,0.334,-192.092,4444.561,554.981,4441.639,1.305,2.88,0.453,"Gujarati-Modal",0.453125
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-06_Audio",6262.248,6428.712,166.464000000001,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,116.492,116.742,116.153,115.975,722.81,162.805,2562.414,293.268,3670.747,246.127,4452.994,245.339,730.089,1612.215,4066.6,5118.127,16.907,16.656,16.573,15.527,8.027,2.975,16.855,-9.352,-14.384,-23.33,-16.677,-18.885,0.335,1.128,8.546,12.553,0.052,26.01,31.291,39.985,33.584,35.541,1.756,43.921,39.915,40.969,41.192,25.437,0,NA,0.494,0.486,0.46,0.374,-215.999,6346.523,578.518,6343.316,1.104,3.187,0.347,"Gujarati-Modal",0.346407279573266
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-06_Audio",8057.633,8236.047,178.414000000001,5,"a","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Unaspirated",NA,115.174,115.486,115.308,115.609,536.965,158.159,1515.755,162.965,2596.611,212.435,3436.186,242.42,748.497,1620.024,3812.984,4369.215,16.817,16.399,15.733,13.953,7.97,-2.418,16.608,-15.726,4.991,-13.469,-11.461,-11.868,1.084,2.446,7.763,16.372,0.209,32.128,11.826,29.867,28.278,28.267,1.758,53.121,51.4,50.792,49.908,27.617,0,NA,0.493,0.447,0.384,0.354,-194.685,8147.752,568.889,8145.218,1.636,2.875,0.569,"Gujarati-Modal",0.56904347826087
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-07_Audio",500.005,738.195,238.19,5,"aH","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Aspirated",NA,116.299,116.898,115.481,116.314,690.339,297.491,1196.062,460.99,2416.675,277.682,4456.401,411.366,813.131,1638.324,2944.746,4286.725,23.655,23.328,20.556,19.196,17.936,11.417,20.975,-7.8,9.17,-14.451,-4.225,-4.549,3.1,4.131,2.62,7.78,2.681,31.143,14.486,37.779,27.88,27.877,7.261,33.873,32.249,34.288,33.896,27.025,0,NA,0.346,0.362,0.405,0.287,-312.184,621.69,1071.361,619.236,0.823,2.232,0.367,"Gujarati-Modal",0.368727598566308
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-07_Audio",4419.1,4669.546,250.446,5,"aH","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Aspirated",NA,117.242,117.988,116.612,117.129,570.101,323.743,1140.107,643.485,2372.411,313.488,3386.334,335.458,801.43,2133.003,3599.926,4150.089,24.625,24.16,21.961,19.99,19.291,8.174,21.951,-5.282,10.234,-9.54,-1.626,2.268,2.664,4.17,2.67,11.816,2.674,29.453,14.392,33.7,26.251,21.892,9.652,35.916,34.055,35.023,34.602,27.724,0,NA,0.366,0.381,0.428,0.301,-314.73,4546.881,1224.43,4544.338,1.122,2.388,0.471,"Gujarati-Modal",0.469849246231156
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-07_Audio",6284.71,6569.139,284.429,5,"aH","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Aspirated",NA,114.54,114.991,113.983,114.298,683.792,314.172,1321.385,529.24,2356.211,296.452,3470.512,386.153,775.822,2310.714,4185.495,4600.696,24.784,24.47,21.949,20.645,19.537,13.252,21.303,-7.537,9.064,-12.566,-5.454,-9.33,2.835,3.825,2.412,7.393,3.482,32.015,15.721,37.036,30.238,33.801,8.373,38.564,37.856,38.861,38.409,28.349,0,NA,0.353,0.365,0.41,0.288,-299.36,6429.894,1157.755,6427.39,1.191,2.331,0.511,"Gujarati-Modal",0.510939510939511
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-07_Audio",8139.909,8414.473,274.564,5,"aH","Vowel","a","Modal","Oral",NA,NA,NA,NA,"Aspirated",NA,113.328,113.88,112.543,113.016,618.793,253.014,1595.637,310.418,2586.283,543.481,3564.408,400.078,677.882,1208.401,3626.313,4760.936,22.527,22.188,18.974,17.553,14.365,7.068,17.466,-8.468,4.4,-21.024,-16.958,-19.428,3.553,4.635,4.609,10.485,5.061,30.659,18.127,43.213,39.485,41.617,3.928,38.879,35.982,37.953,38.193,25.045,0,NA,0.322,0.336,0.382,0.224,-283.708,8279.302,1009.054,8277.336,0.804,2.117,0.38,"Gujarati-Modal",0.379782711384034
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-08_Audio",2196.904,2487.765,290.861,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,117.166,117.521,115.51,116.901,758.813,285.755,1594.424,732.511,3657.015,352.576,4573.345,200.576,688.368,1614.619,3438.572,4634.619,20.543,20.296,16.236,15.215,11.546,6.83,12.882,-15.572,-4.142,-25.268,-14.818,-6.097,4.307,5.081,4.69,8.385,7.661,35.899,24.685,45.563,35.362,26.392,2.568,23.867,25.119,28.349,30.061,21.438,0,NA,0.402,0.413,0.449,0.313,-244.685,2343.538,851.205,2340.875,1.097,2.374,0.462,"Gujarati-Breathy",0.462089300758214
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-08_Audio",3999.178,4248.19,249.012,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,118.382,118.798,118.028,118.299,680.184,247.573,1376.822,425.577,3630.629,241.359,4535.402,404.873,637.551,1254.783,3578.369,4619.564,22.74,22.403,20.929,19.53,15.696,8.846,19.294,-8.879,4.449,-17.795,-10.103,3.527,1.81,2.874,5.234,10.684,3.446,31.384,18.291,40.198,32.843,18.876,5.727,34.071,33.77,38.091,37.917,26.289,0,NA,0.438,0.45,0.483,0.374,-231.665,4125.287,1090.261,4122.141,1.041,2.818,0.371,"Gujarati-Breathy",0.369410929737402
"Gujarati_M1","1","M","Gujarati",NA,"2008-11-19-1300-08_Audio",5827.381,6142.823,315.442,5,"a=","Vowel","a","Breathy","Oral",NA,NA,NA,NA,"Unaspirated",NA,115.965,116.596,114.896,115.698,775.294,272.271,1485.783,932.022,2673.989,390.722,3757.386,216.521,681.888,1464.129,3451.719,4694.695,20.578,20.336,17.252,16.253,11.221,6.659,11.933,-17.016,-3.457,-25.788,-11.809,-18.036,3.327,4.082,6.031,9.594,8.645,37.36,24.035,46.124,32.387,38.372,2.889,28.901,30.079,33.217,34.312,23.262,0,NA,0.392,0.406,0.452,0.28,-213.846,5984.539,805.306,5982.132,0.708,2.417,0.293,"Gujarati-Breathy",0.29292511377741
